ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-11-09,5TDESKFC8SS157031,2025,Sienna Platinum,DealerHold,True,Port to dealer,60905,Celestial Silver Metallic,Black&nbsp;leather-trimmed,60,Laurel Toyota,https://www.laureltoyotapa.com,False,1500W inverter [120v_cargo] | 50 State Emissions | All-Weather Liners for  Vacuum and FridgeBox™ Package models[installed_msrp] | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Illuminated Door Sills[installed_msrp] | Mudguards | Owner's Portfolio | Platinum Package | Spare tire (removes second row ottomans) [sienna_ottoman]
2024-11-21,5TDESKFC9SS43E516,2025,Sienna Platinum,,False,Factory to port,61493,Celestial Silver Metallic,Black&nbsp;leather-trimmed,2,Jim Shorkey Toyota,https://www.jimshorkeytoyota.com,True,"1500W inverter [120v_cargo] | 50 State Emissions | Alloy Wheel Locks[installed_msrp] | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Illuminated Door Sills[installed_msrp] | Paint Protection Film: Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Platinum Package | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp]"
Unknown,5TDESKFC9SS44B997,2025,Sienna Platinum,,False,Factory to port,61948,Wind Chill Pearl [extra_cost_color],Black&nbsp;leather-trimmed,2,Jim Shorkey Toyota,https://www.jimshorkeytoyota.com,True,"1500W Inverter with Two 120V AC Outlets | 50 State Emissions | Body Side Moldings | Cargo Organizers | Cross Bars | Digital Rear View Mirror with Homelink Universal Transceiver | Illuminated Door Sills | Platinum Package | Premium Paint | Rear Bumper Applique | Rear Seat Entertainment System- 1080p HD Entertainment Center with 11.6-in. Display, HDMI Input, Remote and Two Wireless Headphones | Vacuum and FridgeBox | Wheel Locks"
Unknown,5TDESKFC9SS44C342,2025,Sienna Platinum,DealerHold,False,Factory to port,61424,Magnetic Gray Metallic,Macadamia&nbsp;leather-trimmed,38,Preston Toyota,https://www.prestontoyota.com,True,"1500W inverter [120v_cargo] | 50 State Emissions | Alloy Wheel Locks[installed_msrp] | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Illuminated Door Sills[installed_msrp] | Paint Protection Film: Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Platinum Package | Quick Charging Cable Package[installed_msrp] | Roof Rack Cross Bars[installed_msrp]"
2024-11-12,5TDESKFCXSS157497,2025,Sienna Platinum,DealerHold,False,Port to dealer,62768,Wind Chill Pearl [extra_cost_color],Black&nbsp;leather-trimmed,11,Baierl Toyota,https://www.baierltoyota.com,True,"1500W inverter [120v_cargo] | 50 State Emissions | All-Weather Liners for  Vacuum and FridgeBox™ Package models[installed_msrp] | Cargo Organizer[installed_msrp] | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Illuminated Door Sills[installed_msrp] | Integrated Dashcam[installed_msrp] | Mudguards | Paint Protection Film: Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Platinum Package | Premium Paint | Roof Rack Cross Bars[installed_msrp]"
Unknown,5TDJRKEC1RS223943,2024,Sienna XLE,Available,False,At dealer,48235,Blueprint,Graphite Embossed Softex® [softex],93,Victory Toyota of Ashtabula County,https://www.victorytoyota440.com,False,1500W inverter [120v_cargo] | 50 State Emissions | Entertainment Package | Spare tire | XLE Plus Package
2024-12-13,5TDJRKEC1SS47C561,2025,Sienna XLE,DealerHold,True,Factory to port,47505,Celestial Silver Metallic,Gray Softex®,9,Rohrich Toyota,https://www.rohrichtoyota.com,True,1500W inverter [120v_cargo] | 50 State Emissions | All-Weather LIners  without Vacuum and FridgeBox™ Package[installed_msrp] | Body Side Moldings[installed_msrp] | Mudguards | Roof Rack Cross Bars[installed_msrp] | XLE Plus Package
2024-10-28,5TDJRKEC6SS225855,2025,Sienna XLE,,True,At dealer,47505,Blueprint,Gray Softex®,2,Jim Shorkey Toyota,https://www.jimshorkeytoyota.com,True,1500W inverter [120v_cargo] | 50 State Emissions | All-Weather LIners  without Vacuum and FridgeBox™ Package[installed_msrp] | Body Side Moldings[installed_msrp] | Mudguards | Roof Rack Cross Bars[installed_msrp] | XLE Plus Package
2024-11-19,5TDJSKFC0SS44D863,2025,Sienna XLE,,False,Factory to port,50569,Midnight Black Metallic,Gray Softex®,2,Jim Shorkey Toyota,https://www.jimshorkeytoyota.com,True,"1500W inverter [120v_cargo] | 18-in. alloy wheels | 50 State Emissions | All-Weather LIners  without Vacuum and FridgeBox™ Package[installed_msrp] | Emergency Assistance Kit[installed_msrp] | Illuminated Door Sills[installed_msrp] | Paint Protection Film: Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | XLE Plus Package"
2024-11-25,5TDJSKFC0SS45C370,2025,Sienna XLE,,False,Factory to port,49795,Cypress,Gray Softex®,38,Preston Toyota,https://www.prestontoyota.com,True,"1500W Inverter with Two 120V AC Outlets | 18-in. Wheels | 50 State Emissions | All Weather Floor Liners | Cross Bars | Mudguards | XLE Plus Package: Black Roof Rails, 12.3-in. Toyota Audio Multimedia, 12 JBL Speakers including Subwoofer and Amplifier"
